gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,score_mean,score_max,score_min,score_std,total_assessments,is_banked_mean,reg_mean,reg_min,unreg_count,clicks_total,vle_mean,vle_max,vle_min,vle_activity_range,engagement_score
M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Y,Withdrawn,68.47368421052632,96.0,31.0,20.546339011698063,19.0,0.0,-43.333333333333336,-74.0,1,843.0,102.62870699881375,245.0,-14.0,259.0,57723.31578947369
F,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,74.5,100.0,40.0,20.337431281042132,10.0,0.0,-55.5,-58.0,1,161.0,112.91304347826087,240.0,-15.0,255.0,11994.5
F,South Region,Lower Than A Level,30-40%,0-35,0,30,N,Pass,83.0,100.0,60.0,18.24828759089466,7.0,0.0,-157.0,-157.0,0,116.0,140.0344827586207,229.0,2.0,227.0,9628.0
F,South East Region,Lower Than A Level,30-40%,35-55,1,120,Y,Distinction,79.18181818181819,100.0,40.0,14.600124532470137,11.0,0.0,-19.0,-19.0,0,954.0,92.53249475890985,235.0,-9.0,244.0,75539.45454545454
M,Wales,A Level or Equivalent,40-50%,35-55,0,120,N,Distinction,89.91666666666667,96.0,81.0,5.1426617326992865,12.0,0.0,-25.0,-25.0,0,1130.0,110.26725663716815,267.0,-17.0,284.0,101605.83333333334
F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,62.23076923076923,81.0,41.0,14.440416927001827,13.0,0.0,-36.0,-36.0,0,319.0,73.94043887147335,235.0,-14.0,249.0,19851.615384615387
F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,81.0,100.0,62.0,26.870057685088806,2.0,0.0,-93.0,-93.0,1,34.0,17.058823529411764,94.0,-8.0,102.0,2754.0
F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,64.27272727272727,80.0,51.0,12.799147698897057,11.0,0.0,-18.0,-18.0,0,321.0,91.89408099688474,261.0,-10.0,271.0,20631.545454545452
M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,65.5,85.0,51.0,12.22144166469882,12.0,0.0,-46.0,-46.0,0,1155.0,96.35497835497836,269.0,-18.0,287.0,75652.5
M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-22.0,0,3.0,2.0,2.0,2.0,0.0,0.0
M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-25.0,1,40.0,65.975,132.0,47.0,85.0,0.0
M,Scotland,HE Qualification,90-100%,35-55,2,120,N,Pass,84.16666666666667,93.0,76.0,6.644660649838725,12.0,0.0,-29.0,-29.0,0,696.0,118.30316091954023,235.0,-18.0,253.0,58580.0
M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,56.142857142857146,75.0,28.0,17.160308577534103,7.0,0.0,-120.0,-120.0,0,222.0,87.6036036036036,241.0,2.0,239.0,12463.714285714286
M,Wales,A Level or Equivalent,20-30%,0-35,0,120,Y,Pass,62.125,94.0,22.0,27.776853159214625,8.0,0.0,-54.0,-54.0,0,297.0,80.56902356902357,237.0,-18.0,255.0,18451.125
M,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Distinction,95.88888888888889,100.0,88.0,3.6552853665768836,9.0,0.0,-59.0,-59.0,0,350.0,164.53142857142856,267.0,-13.0,280.0,33561.11111111111
M,Scotland,HE Qualification,40-50%,0-35,0,60,N,Distinction,91.0,100.0,58.0,12.668859459319927,9.0,0.0,-23.0,-23.0,0,625.0,100.1936,261.0,-17.0,278.0,56875.0
F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,100.0,100.0,100.0,0.0,1.0,0.0,-48.0,-48.0,0,59.0,12.525423728813559,33.0,-5.0,38.0,5900.0
F,North Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,56.2,75.0,1.0,31.05962008782464,5.0,0.0,-122.0,-122.0,0,434.0,96.13133640552995,258.0,-9.0,267.0,24390.800000000003
M,South East Region,HE Qualification,30-40%,35-55,0,30,N,Distinction,87.88888888888889,100.0,75.0,11.623730516108463,9.0,0.0,-8.0,-8.0,0,207.0,120.90821256038647,237.0,3.0,234.0,18193.0
F,Yorkshire Region,No Formal quals,30-40%,0-35,2,60,N,Withdrawn,71.14285714285714,100.0,44.0,22.740775209804465,8.0,0.0,-52.0,-68.0,2,149.0,40.671140939597315,129.0,-5.0,134.0,10600.285714285714
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-143.0,-143.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,South West Region,A Level or Equivalent,60-70%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,1,33.0,0.06060606060606061,9.0,-8.0,17.0,0.0
M,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,67.33333333333333,84.0,44.0,15.474710551951098,6.0,0.0,-61.666666666666664,-99.0,2,750.0,90.19466666666666,242.0,-16.0,258.0,50500.0
F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,81.36363636363636,100.0,60.0,15.64782877764661,11.0,0.0,-36.0,-36.0,0,390.0,74.2974358974359,231.0,-9.0,240.0,31731.81818181818
M,London Region,A Level or Equivalent,10-20,0-35,0,90,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,-93.0,2,46.0,16.891304347826086,22.0,9.0,13.0,0.0
M,North Region,Lower Than A Level,70-80%,0-35,1,90,N,Fail,56.857142857142854,78.0,0.0,26.397149918306024,7.0,0.42857142857142855,-88.5,-219.0,2,382.0,52.089005235602095,206.0,-17.0,223.0,21719.42857142857
M,Yorkshire Region,No Formal quals,0-10%,0-35,0,60,N,Distinction,85.0,100.0,75.0,6.967456820494442,12.0,0.0,-59.0,-59.0,0,1056.0,101.28030303030303,265.0,-18.0,283.0,89760.0
F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,90,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-31.0,0,8.0,-0.125,8.0,-5.0,13.0,0.0
M,South West Region,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction,83.88888888888889,100.0,60.0,14.092945437739802,9.0,0.0,-52.0,-52.0,0,99.0,144.02020202020202,215.0,-3.0,218.0,8305.0
M,Scotland,Lower Than A Level,70-80%,0-35,0,120,N,Fail,76.0,91.0,54.0,11.497035190944587,12.0,0.0,-24.0,-24.0,0,397.0,99.29219143576826,198.0,-5.0,203.0,30172.0
M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,84.5,96.0,69.0,10.11299793694863,12.0,0.0,-95.0,-95.0,0,385.0,124.55064935064935,235.0,-15.0,250.0,32532.5
M,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,38.0,38.0,38.0,0.0,1.0,0.0,-59.0,-59.0,0,169.0,9.970414201183432,83.0,-18.0,101.0,6422.0
F,London Region,No Formal quals,20-30%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,-63.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,South Region,HE Qualification,60-70%,35-55,0,30,N,Pass,88.75,98.0,83.0,6.652067347825037,4.0,0.0,-15.0,-15.0,0,327.0,82.24464831804282,250.0,-15.0,265.0,29021.25
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-65.0,1,67.0,8.791044776119403,19.0,-18.0,37.0,0.0
M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Distinction,90.25,99.0,78.0,5.31079518100119,12.0,0.0,-248.0,-248.0,0,900.0,95.28333333333333,241.0,-18.0,259.0,81225.0
F,South East Region,A Level or Equivalent,20-30%,35-55,0,150,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-64.0,1,11.0,-10.090909090909092,-4.0,-16.0,12.0,0.0
F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,82.36363636363636,100.0,50.0,18.779098632643304,11.0,0.0,-42.0,-42.0,0,202.0,115.93564356435644,223.0,-4.0,227.0,16637.454545454544
F,London Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail,64.0,80.0,50.0,10.8397416943394,5.0,0.0,-43.0,-43.0,0,95.0,50.32631578947368,110.0,0.0,110.0,6080.0
M,South West Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass,68.88888888888889,89.0,44.0,15.933019522711668,9.0,0.0,-150.0,-150.0,0,233.0,109.22317596566523,268.0,-18.0,286.0,16051.11111111111
M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,34.2,51.0,16.0,13.935566009315876,5.0,0.0,-16.0,-16.0,1,148.0,76.95945945945945,225.0,-12.0,237.0,5061.6
M,South Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Pass,52.6,78.0,1.0,29.879759035172956,5.0,0.0,-71.0,-71.0,0,57.0,59.8421052631579,166.0,2.0,164.0,2998.2000000000003
F,South East Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-52.0,-52.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,73.07692307692308,93.0,30.0,16.82984223763223,13.0,0.0,-31.5,-34.0,0,868.0,93.8721198156682,233.0,-18.0,251.0,63430.769230769234
M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,75.0,87.0,56.0,14.628738838327793,4.0,0.0,-93.0,-93.0,0,438.0,118.43607305936074,267.0,-18.0,285.0,32850.0
M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,-32.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,South Region,Lower Than A Level,90-100%,35-55,0,90,N,Withdrawn,84.0,100.0,72.0,14.422205101855956,3.0,0.0,-37.0,-37.0,1,133.0,17.218045112781954,69.0,-10.0,79.0,11172.0
M,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,73.2,80.0,66.0,6.379655163094632,5.0,0.0,-44.0,-44.0,0,332.0,109.02409638554217,264.0,-4.0,268.0,24302.4
M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,83.88888888888889,99.0,65.0,10.409664313084795,9.0,0.0,-22.0,-22.0,0,1141.0,93.96669588080631,229.0,-18.0,247.0,95717.22222222222
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,69.25,88.0,42.0,13.994317028383668,12.0,0.0,-27.5,-29.0,1,772.0,83.96243523316062,221.0,-18.0,239.0,53461.0
F,Ireland,A Level or Equivalent,0,0-35,0,180,N,Withdrawn,73.85714285714286,91.0,43.0,16.334305121722313,7.0,0.0,-95.0,-161.0,1,613.0,111.33931484502448,231.0,-18.0,249.0,45274.42857142857
M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,71.25,85.0,63.0,6.784005252999687,12.0,0.0,-107.0,-107.0,0,1428.0,111.37464985994397,268.0,-13.0,281.0,101745.0
F,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,60.0,75.0,38.0,19.467922333931785,3.0,0.0,-25.0,-25.0,1,197.0,9.685279187817258,67.0,-16.0,83.0,11820.0
M,South East Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,89.66666666666667,100.0,78.0,11.360751148875092,6.0,0.0,-123.0,-123.0,0,717.0,53.6792189679219,127.0,-9.0,136.0,64291.0
M,South West Region,Lower Than A Level,30-40%,0-35,0,30,N,Distinction,90.76923076923077,100.0,64.0,10.0677194219433,13.0,0.0,-119.5,-136.0,0,3765.0,118.81513944223107,257.0,-18.0,275.0,341746.1538461539
M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,73.18181818181819,86.0,51.0,9.968131036640541,12.0,0.0,-16.0,-16.0,0,1184.0,136.74155405405406,240.0,-16.0,256.0,86647.27272727274
F,North Western Region,A Level or Equivalent,60-70%,0-35,2,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-79.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,150,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,-85.0,1,17.0,-4.176470588235294,-2.0,-5.0,3.0,0.0
M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-149.0,-149.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,South Region,Lower Than A Level,80-90%,0-35,0,90,N,Pass,77.33333333333333,96.0,57.0,12.404788909078135,12.0,0.0,-55.0,-55.0,0,450.0,120.24666666666667,232.0,-18.0,250.0,34800.0
F,North Region,A Level or Equivalent,0,0-35,1,150,N,Pass,73.0,96.0,42.0,13.921206844235885,11.0,0.0,-25.0,-25.0,0,1278.0,99.01799687010954,240.0,-18.0,258.0,93294.0
M,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,0.0,0.0,0.0,0.0,0.0,0.0,-188.5,-248.0,0,81.0,3.9753086419753085,15.0,-8.0,23.0,0.0
F,London Region,A Level or Equivalent,70-80%,35-55,0,30,N,Fail,64.88888888888889,100.0,20.0,27.592772805774903,9.0,0.0,-4.0,-4.0,0,96.0,165.1875,228.0,2.0,226.0,6229.333333333333
F,London Region,A Level or Equivalent,20-30%,35-55,0,30,N,Pass,86.875,100.0,60.0,15.338443765351723,8.0,0.0,-25.0,-25.0,0,323.0,136.38390092879257,214.0,-6.0,220.0,28060.625
M,East Midlands Region,Lower Than A Level,80-90%,35-55,0,30,N,Fail,60.5,65.0,56.0,6.363961030678928,2.0,0.0,-27.0,-27.0,0,153.0,60.73202614379085,227.0,-18.0,245.0,9256.5
M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,59.125,100.0,32.0,22.2160656154183,8.0,0.0,-74.0,-74.0,0,70.0,70.58571428571429,167.0,7.0,160.0,4138.75
F,Scotland,Lower Than A Level,30-40%,0-35,0,120,N,Pass,72.81818181818181,100.0,55.0,13.407596218697684,11.0,0.0,-66.0,-66.0,0,262.0,65.33969465648855,219.0,-9.0,228.0,19078.363636363636
M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,Y,Pass,79.75,91.0,64.0,9.333468613738217,12.0,0.0,-25.0,-25.0,0,451.0,109.43015521064302,241.0,-7.0,248.0,35967.25
F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,91.5,100.0,60.0,11.692827811193588,10.0,0.0,-71.0,-71.0,0,284.0,85.49647887323944,223.0,-7.0,230.0,25986.0
F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-142.0,-142.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,North Western Region,A Level or Equivalent,0-10%,35-55,1,60,N,Pass,75.3,91.0,52.0,12.624537511070299,20.0,0.4,-40.0,-45.0,1,1169.0,99.41317365269461,254.0,-18.0,272.0,88025.7
F,South West Region,A Level or Equivalent,70-80%,35-55,0,165,N,Pass,78.85714285714286,97.0,38.0,20.440389521961755,7.0,0.0,-39.0,-39.0,0,624.0,114.80929487179488,250.0,-12.0,262.0,49206.857142857145
M,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,74.28571428571429,90.0,44.0,15.776715814920479,7.0,0.0,-50.5,-65.0,1,490.0,111.90612244897959,236.0,-18.0,254.0,36400.0
M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,30,N,Distinction,81.44444444444444,100.0,60.0,18.500750735518213,9.0,0.0,-129.0,-129.0,0,346.0,123.92196531791907,222.0,-9.0,231.0,28179.777777777777
F,East Midlands Region,Lower Than A Level,0-10%,35-55,0,180,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,-106.0,1,0.0,0.0,0.0,0.0,0.0,0.0
F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,59.6,89.0,1.0,34.26076473168688,5.0,0.0,-161.0,-161.0,0,347.0,107.88472622478386,236.0,-2.0,238.0,20681.2
F,Scotland,Lower Than A Level,10-20,35-55,0,30,N,Pass,91.8,100.0,82.0,6.870225614927067,5.0,0.0,-50.0,-50.0,0,593.0,109.81787521079258,260.0,-18.0,278.0,54437.4
M,West Midlands Region,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,70.2,90.0,31.0,23.784448700779254,5.0,0.0,-29.0,-29.0,2,150.0,50.6,126.0,-5.0,131.0,10530.0
M,South West Region,Lower Than A Level,10-20,0-35,0,120,Y,Fail,25.5,40.0,4.0,17.69180601295413,4.0,0.0,-136.0,-136.0,0,149.0,28.187919463087248,165.0,-2.0,167.0,3799.5
F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,69.0,100.0,60.0,17.46424919657298,5.0,0.0,-119.0,-119.0,0,285.0,85.90877192982457,235.0,-2.0,237.0,19665.0
M,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,80.75,94.0,70.0,9.912113800799503,4.0,0.0,-129.0,-129.0,1,288.0,28.270833333333332,90.0,-18.0,108.0,23256.0
M,South West Region,HE Qualification,80-90%,35-55,0,120,N,Distinction,86.0,96.0,75.0,7.0710678118654755,7.0,0.0,-31.0,-31.0,0,288.0,111.02777777777777,240.0,-22.0,262.0,24768.0
M,East Midlands Region,Lower Than A Level,40-50%,35-55,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,-86.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,95.33333333333333,98.0,91.0,3.78593889720018,3.0,0.0,-100.0,-100.0,0,387.0,79.12403100775194,180.0,-14.0,194.0,36894.0
F,East Midlands Region,A Level or Equivalent,70-80%,35-55,0,30,N,Fail,67.33333333333333,86.0,33.0,19.50640920313116,9.0,0.0,-10.0,-10.0,0,238.0,107.23109243697479,244.0,-3.0,247.0,16025.333333333332
F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,67.75,75.0,60.0,6.601767440112787,4.0,0.0,-144.0,-144.0,0,147.0,42.85034013605442,156.0,-19.0,175.0,9959.25
M,Yorkshire Region,Lower Than A Level,50-60%,35-55,1,60,N,Withdrawn,69.0,76.0,62.0,9.899494936611665,2.0,0.0,-146.0,-146.0,1,358.0,21.921787709497206,79.0,-18.0,97.0,24702.0
F,London Region,Lower Than A Level,20-30%,0-35,1,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-115.5,-124.0,2,0.0,0.0,0.0,0.0,0.0,0.0
F,Scotland,HE Qualification,20-30%,0-35,0,60,N,Pass,75.58333333333333,91.0,64.0,8.479476113034057,12.0,0.0,-100.0,-100.0,0,1190.0,118.2235294117647,242.0,-8.0,250.0,89944.16666666666
F,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,67.33333333333333,78.0,56.0,11.015141094572202,3.0,0.0,-14.0,-14.0,0,40.0,55.15,109.0,15.0,94.0,2693.333333333333
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,90.66666666666667,98.0,76.0,7.691002220225601,12.0,0.0,-148.0,-148.0,0,553.0,118.30560578661844,251.0,-5.0,256.0,50138.66666666667
M,Scotland,HE Qualification,10-20,0-35,0,60,N,Withdrawn,80.0,82.0,78.0,2.8284271247461903,2.0,0.0,-58.0,-58.0,1,364.0,23.414835164835164,92.0,-18.0,110.0,29120.0
F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,120,Y,Fail,86.0,86.0,86.0,0.0,1.0,0.0,-57.0,-57.0,0,48.0,34.833333333333336,58.0,10.0,48.0,4128.0
M,Scotland,Lower Than A Level,50-60%,0-35,2,60,N,Fail,58.666666666666664,74.0,35.0,14.256577429383247,9.0,0.3333333333333333,-67.5,-92.0,1,88.0,91.93181818181819,196.0,0.0,196.0,5162.666666666666
M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,63.857142857142854,90.0,39.0,18.845234335047603,7.0,0.0,-60.0,-60.0,0,77.0,126.35064935064935,240.0,0.0,240.0,4917.0
F,Scotland,HE Qualification,30-40%,0-35,1,120,N,Pass,55.285714285714285,62.0,40.0,8.693182879212227,7.0,0.0,-169.0,-169.0,0,494.0,99.94534412955466,260.0,-17.0,277.0,27311.142857142855
F,South West Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,88.33333333333333,100.0,65.0,14.361406616345072,9.0,0.0,-121.0,-121.0,0,271.0,127.5350553505535,241.0,-7.0,248.0,23938.333333333332
M,South West Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,-99.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,South Region,Lower Than A Level,90-100%,0-35,0,90,N,Withdrawn,72.0,81.0,57.0,8.916277250063501,5.0,0.0,-95.5,-155.0,2,574.0,48.930313588850176,134.0,-6.0,140.0,41328.0
M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Withdrawn,41.6,55.0,14.0,18.46076921474292,5.0,0.0,-91.0,-91.0,1,177.0,78.7231638418079,173.0,-7.0,180.0,7363.2
M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,85.25,98.0,75.0,6.92984323579742,12.0,0.0,-37.0,-37.0,0,623.0,104.48475120385233,239.0,-18.0,257.0,53110.75
F,London Region,No Formal quals,20-30%,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,-37.0,1,0.0,0.0,0.0,0.0,0.0,0.0
M,South Region,A Level or Equivalent,80-90%,0-35,1,90,Y,Pass,75.54545454545455,90.0,34.0,14.955692136197756,11.0,0.45454545454545453,-85.0,-118.0,1,1067.0,63.1087160262418,242.0,-25.0,267.0,80607.0
F,Wales,HE Qualification,80-90%,35-55,0,60,N,Pass,81.8,100.0,64.0,14.703741020570243,5.0,0.0,-32.0,-32.0,0,399.0,123.52130325814537,238.0,-2.0,240.0,32638.199999999997
F,London Region,A Level or Equivalent,10-20,0-35,1,120,N,Withdrawn,50.625,69.0,29.0,13.917486431515876,9.0,0.0,-23.5,-45.0,2,197.0,46.79187817258883,135.0,6.0,129.0,9973.125
M,South East Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass,73.58333333333333,85.0,59.0,8.039203186808248,12.0,0.0,-67.0,-67.0,0,326.0,114.79754601226993,263.0,-13.0,276.0,23988.166666666664
M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,66.33333333333333,79.0,44.0,19.399312702601947,3.0,0.0,-27.0,-27.0,0,177.0,22.694915254237287,107.0,-18.0,125.0,11741.0
M,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Withdrawn,5.0,10.0,0.0,7.0710678118654755,2.0,0.0,-87.0,-87.0,1,79.0,14.822784810126583,65.0,-3.0,68.0,395.0
F,North Western Region,A Level or Equivalent,40-50%,35-55,0,90,N,Fail,82.81818181818181,100.0,10.0,25.431548052834618,11.0,0.0,-211.0,-211.0,0,908.0,102.0033039647577,229.0,-3.0,232.0,75198.90909090909
M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,57.5,75.0,40.0,24.748737341529164,2.0,0.0,-22.0,-22.0,1,31.0,22.29032258064516,88.0,-4.0,92.0,1782.5
M,East Anglian Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,-28.0,1,17.0,0.29411764705882354,2.0,-2.0,4.0,0.0
M,Wales,A Level or Equivalent,40-50%,0-35,1,120,N,Pass,96.0,100.0,85.0,6.144102863722254,9.0,0.0,-51.0,-51.0,0,262.0,142.01908396946564,234.0,-9.0,243.0,25152.0
M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,-46.0,2,0.0,0.0,0.0,0.0,0.0,0.0
M,East Anglian Region,Lower Than A Level,90-100%,35-55,0,120,N,Pass,78.875,96.0,59.0,10.601100571795993,16.0,0.0,-14.0,-14.0,1,763.0,86.38663171690695,265.0,-13.0,278.0,60181.625
M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,195,N,Withdrawn,54.42857142857143,81.0,39.0,15.862504456076524,7.0,0.0,-49.5,-73.0,1,370.0,106.43783783783783,227.0,-16.0,243.0,20138.571428571428
M,Wales,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn,28.75,62.0,13.0,22.47035083541569,4.0,0.0,-38.0,-38.0,1,66.0,56.07575757575758,156.0,-2.0,158.0,1897.5
M,South East Region,A Level or Equivalent,50-60%,0-35,0,90,Y,Pass,65.15384615384616,77.0,46.0,9.728361919718326,13.0,0.0,-121.0,-177.0,0,340.0,100.65882352941176,248.0,-6.0,254.0,22152.307692307695
F,London Region,A Level or Equivalent,30-40%,35-55,0,90,N,Withdrawn,45.75,55.0,30.0,11.354147553500733,4.0,0.0,-29.0,-29.0,1,5.0,-1.2,0.0,-6.0,6.0,228.75
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Fail,68.0,74.0,60.0,5.8878405775518985,4.0,0.0,-23.5,-24.0,0,267.0,24.50561797752809,208.0,-18.0,226.0,18156.0
F,South West Region,A Level or Equivalent,50-60%,0-35,0,150,N,Pass,80.83333333333333,98.0,52.0,12.946275935807199,12.0,0.0,-130.0,-130.0,0,1046.0,86.76673040152964,254.0,-18.0,272.0,84551.66666666666
F,Scotland,HE Qualification,20-30%,0-35,0,90,N,Withdrawn,73.6,100.0,40.0,21.51278689523977,5.0,0.0,-42.5,-47.0,2,337.0,24.142433234421365,159.0,-18.0,177.0,24803.199999999997
M,London Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-27.0,1,67.0,7.268656716417911,9.0,4.0,5.0,0.0
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,74.0,95.0,21.0,22.891046284519195,8.0,0.0,-46.0,-46.0,0,263.0,64.34220532319392,165.0,-5.0,170.0,19462.0
M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,75.0,84.0,59.0,8.426149773176359,7.0,0.0,-66.0,-66.0,0,463.0,89.00647948164146,259.0,-18.0,277.0,34725.0
F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,-121.0,-121.0,2,0.0,0.0,0.0,0.0,0.0,0.0
M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,74.66666666666667,84.0,70.0,8.082903768654761,3.0,0.0,-3.0,-3.0,1,167.0,44.34131736526946,149.0,1.0,148.0,12469.333333333334
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,1,60,N,Pass,75.0,100.0,1.0,24.620191838282782,14.0,0.0,-130.5,-141.0,0,1078.0,115.75602968460112,256.0,-9.0,265.0,80850.0
M,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,46.666666666666664,65.0,20.0,23.629078131263043,3.0,0.0,-142.0,-142.0,0,122.0,22.327868852459016,81.0,-6.0,87.0,5693.333333333333
